freq,psd_x,psd_y,psd_z,psd_xyz
150.4,1.395e+03,4.355e+02,6.514e+02,2.482e+03
152.0,1.477e+03,5.413e+02,8.430e+02,2.861e+03
153.5,2.079e+03,6.259e+02,1.096e+03,3.801e+03
155.1,2.765e+03,7.349e+02,1.408e+03,4.908e+03
156.6,2.761e+03,7.584e+02,1.641e+03,5.160e+03
158.2,2.187e+03,6.590e+02,1.673e+03,4.518e+03
159.7,1.593e+03,5.219e+02,1.544e+03,3.659e+03
161.3,1.224e+03,3.565e+02,1.100e+03,2.681e+03
162.8,1.006e+03,2.315e+02,7.907e+02,2.028e+03
164.4,8.774e+02,2.481e+02,5.753e+02,1.701e+03
165.9,1.082e+03,3.596e+02,5.204e+02,1.962e+03
167.5,1.167e+03,4.113e+02,4.941e+02,2.072e+03
169.0,1.387e+03,5.108e+02,5.612e+02,2.459e+03
170.6,1.639e+03,5.948e+02,6.140e+02,2.848e+03
172.1,1.881e+03,7.054e+02,5.377e+02,3.124e+03
173.7,1.807e+03,7.894e+02,5.293e+02,3.126e+03
175.2,1.723e+03,8.719e+02,6.558e+02,3.251e+03
176.8,1.884e+03,1.025e+03,9.667e+02,3.876e+03
178.3,2.783e+03,1.126e+03,1.416e+03,5.325e+03
179.9,3.935e+03,1.211e+03,1.955e+03,7.101e+03
181.4,4.799e+03,1.121e+03,2.783e+03,8.703e+03
183.0,3.550e+03,8.029e+02,2.880e+03,7.233e+03
184.5,3.301e+03,7.060e+02,2.538e+03,6.544e+03
186.1,3.067e+03,6.221e+02,2.317e+03,6.006e+03
187.6,2.732e+03,5.244e+02,2.059e+03,5.316e+03
189.2,2.262e+03,4.870e+02,1.794e+03,4.543e+03
190.7,2.215e+03,5.562e+02,1.505e+03,4.276e+03
192.3,2.239e+03,6.607e+02,1.376e+03,4.276e+03
193.8,1.916e+03,6.858e+02,1.348e+03,3.950e+03
195.4,1.511e+03,6.840e+02,1.422e+03,3.618e+03
196.9,1.238e+03,5.972e+02,1.442e+03,3.277e+03
198.5,1.038e+03,4.679e+02,1.332e+03,2.838e+03
