freq,psd_x,psd_y,psd_z,psd_xyz
169.4,3.638e+04,5.624e+03,3.801e+03,4.581e+04
170.9,3.964e+04,5.761e+03,4.827e+03,5.023e+04
172.5,4.492e+04,6.216e+03,5.738e+03,5.687e+04
174.0,4.491e+04,6.495e+03,6.111e+03,5.751e+04
175.6,3.988e+04,6.588e+03,6.667e+03,5.314e+04
177.1,3.273e+04,6.642e+03,7.406e+03,4.677e+04
178.7,2.745e+04,6.719e+03,7.481e+03,4.165e+04
180.3,2.392e+04,6.768e+03,8.245e+03,3.893e+04
181.8,2.239e+04,7.562e+03,1.054e+04,4.049e+04
183.4,2.543e+04,8.830e+03,1.338e+04,4.764e+04
184.9,3.056e+04,9.449e+03,1.477e+04,5.479e+04
186.5,3.363e+04,9.413e+03,1.443e+04,5.746e+04
188.0,3.402e+04,9.292e+03,1.357e+04,5.688e+04
189.6,3.416e+04,9.442e+03,1.276e+04,5.637e+04
191.1,3.558e+04,9.669e+03,1.205e+04,5.730e+04
192.7,3.515e+04,9.858e+03,1.225e+04,5.725e+04
194.2,3.239e+04,1.015e+04,1.375e+04,5.630e+04
195.8,2.768e+04,1.015e+04,1.540e+04,5.323e+04
197.3,2.028e+04,9.071e+03,1.574e+04,4.508e+04
198.9,1.602e+04,8.019e+03,1.541e+04,3.945e+04
